support,itemsets
0.011666666666666667,frozenset({'...and you will know us by the trail of dead'})
0.025333333333333333,frozenset({'2pac'})
0.03133333333333333,frozenset({'3 doors down'})
0.03333333333333333,frozenset({'30 seconds to mars'})
0.011333333333333334,frozenset({'311'})
0.024,frozenset({'50 cent'})
0.018333333333333333,frozenset({'65daysofstatic'})
0.028333333333333332,frozenset({'[unknown]'})
0.03666666666666667,frozenset({'a perfect circle'})
0.017666666666666667,frozenset({'a tribe called quest'})
0.012666666666666666,frozenset({'a-ha'})
0.027,frozenset({'abba'})
0.05733333333333333,frozenset({'ac/dc'})
0.011666666666666667,frozenset({'adam green'})
0.013333333333333334,frozenset({'adele'})
0.011,frozenset({'adema'})
0.03166666666666667,frozenset({'aerosmith'})
0.014333333333333333,frozenset({'aesop rock'})
0.03233333333333333,frozenset({'afi'})
0.010333333333333333,frozenset({'after forever'})
0.014333333333333333,frozenset({'against me!'})
0.012666666666666666,frozenset({'aimee mann'})
0.069,frozenset({'air'})
0.016666666666666666,frozenset({'akon'})
0.027333333333333334,frozenset({'alanis morissette'})
0.013,frozenset({'alexisonfire'})
0.01,frozenset({'alice cooper'})
0.029,frozenset({'alice in chains'})
0.024,frozenset({'alicia keys'})
0.02033333333333333,frozenset({'alkaline trio'})
0.013,frozenset({'all that remains'})
0.022333333333333334,frozenset({'amon amarth'})
0.02033333333333333,frozenset({'amon tobin'})
0.016,frozenset({'amorphis'})
0.017333333333333333,frozenset({'amy macdonald'})
0.06266666666666666,frozenset({'amy winehouse'})
0.021333333333333333,frozenset({'anathema'})
0.014,frozenset({'anberlin'})
0.02033333333333333,frozenset({'andrew bird'})
0.014,frozenset({'angels & airwaves'})
0.01,frozenset({'ani difranco'})
0.033666666666666664,frozenset({'animal collective'})
0.01,frozenset({'anthrax'})
0.014666666666666666,frozenset({'anti-flag'})
0.012333333333333333,frozenset({'antonio vivaldi'})
0.021333333333333333,frozenset({'antony and the johnsons'})
0.044,frozenset({'aphex twin'})
0.03666666666666667,frozenset({'apocalyptica'})
0.010666666666666666,frozenset({'apparat'})
0.050666666666666665,frozenset({'arcade fire'})
0.023666666666666666,frozenset({'arch enemy'})
0.019666666666666666,frozenset({'architecture in helsinki'})
0.08,frozenset({'arctic monkeys'})
