support,itemsets
0.015901060070671377,frozenset({'...and you will know us by the trail of dead'})
0.0353356890459364,frozenset({'2pac'})
0.012367491166077738,frozenset({'3 doors down'})
0.015901060070671377,frozenset({'30 seconds to mars'})
0.03180212014134275,frozenset({'311'})
0.030035335689045935,frozenset({'50 cent'})
0.012367491166077738,frozenset({'65daysofstatic'})
0.014134275618374558,frozenset({'[unknown]'})
0.012367491166077738,frozenset({'a day to remember'})
0.01060070671378092,frozenset({'a fine frenzy'})
0.03180212014134275,frozenset({'a perfect circle'})
0.044169611307420496,frozenset({'a tribe called quest'})
0.026501766784452298,frozenset({'abba'})
0.03356890459363958,frozenset({'ac/dc'})
0.012367491166077738,frozenset({'adele'})
0.0353356890459364,frozenset({'aerosmith'})
0.0353356890459364,frozenset({'aesop rock'})
0.038869257950530034,frozenset({'afi'})
0.04063604240282685,frozenset({'against me!'})
0.012367491166077738,frozenset({'aimee mann'})
0.04946996466431095,frozenset({'air'})
0.01060070671378092,frozenset({'akon'})
0.015901060070671377,frozenset({'al green'})
0.026501766784452298,frozenset({'alanis morissette'})
0.01060070671378092,frozenset({'alexisonfire'})
0.0353356890459364,frozenset({'alice in chains'})
0.028268551236749116,frozenset({'alicia keys'})
0.03356890459363958,frozenset({'alkaline trio'})
0.01060070671378092,frozenset({'all that remains'})
0.022968197879858657,frozenset({'all time low'})
0.01060070671378092,frozenset({'amon tobin'})
0.02120141342756184,frozenset({'amy winehouse'})
0.030035335689045935,frozenset({'anberlin'})
0.053003533568904596,frozenset({'andrew bird'})
0.014134275618374558,frozenset({'andrew lloyd webber'})
0.022968197879858657,frozenset({'angels & airwaves'})
0.02120141342756184,frozenset({'ani difranco'})
0.0706713780918728,frozenset({'animal collective'})
0.012367491166077738,frozenset({'anti-flag'})
0.015901060070671377,frozenset({'antonio vivaldi'})
0.05653710247349823,frozenset({'aphex twin'})
0.014134275618374558,frozenset({'apocalyptica'})
0.014134275618374558,frozenset({'apoptygma berzerk'})
0.07950530035335689,frozenset({'arcade fire'})
0.014134275618374558,frozenset({'arch enemy'})
0.03180212014134275,frozenset({'architecture in helsinki'})
0.04240282685512368,frozenset({'arctic monkeys'})
0.024734982332155476,frozenset({'at the drive-in'})
0.012367491166077738,frozenset({'atb'})
0.04770318021201413,frozenset({'atmosphere'})
0.0176678445229682,frozenset({'atreyu'})
0.019434628975265017,frozenset({'audioslave'})
0.012367491166077738,frozenset({'autechre'})
0.0176678445229682,frozenset({'avril lavigne'})
0.028268551236749116,frozenset({'backstreet boys'})
0.019434628975265017,frozenset({'bad brains'})
0.019434628975265017,frozenset({'bad religion'})
0.012367491166077738,frozenset({'badly drawn boy'})
0.030035335689045935,frozenset({'band of horses'})
0.03356890459363958,frozenset({'barenaked ladies'})
0.014134275618374558,frozenset({'basement jaxx'})
0.01060070671378092,frozenset({'basshunter'})
0.014134275618374558,frozenset({'battles'})
0.05830388692579505,frozenset({'beastie boys'})
0.13427561837455831,frozenset({'beck'})
0.054770318021201414,frozenset({'beirut'})
0.06890459363957598,frozenset({'belle and sebastian'})
0.06007067137809187,frozenset({'ben folds'})
0.028268551236749116,frozenset({'ben folds five'})
0.02120141342756184,frozenset({'ben harper'})
0.019434628975265017,frozenset({'beyoncé'})
0.024734982332155476,frozenset({'billie holiday'})
0.04063604240282685,frozenset({'billy joel'})
0.06713780918727916,frozenset({'björk'})
0.022968197879858657,frozenset({'black eyed peas'})
0.022968197879858657,frozenset({'black flag'})
