support,itemsets
0.025333333333333333,frozenset({'2pac'})
0.03133333333333333,frozenset({'3 doors down'})
0.03333333333333333,frozenset({'30 seconds to mars'})
0.024,frozenset({'50 cent'})
0.04633333333333333,frozenset({'Brazil'})
0.027,frozenset({'Canada'})
0.03666666666666667,frozenset({'Finland'})
0.08866666666666667,frozenset({'Germany'})
0.021,frozenset({'Italy'})
0.03666666666666667,frozenset({'Netherlands'})
0.06366666666666666,frozenset({'Poland'})
0.048666666666666664,frozenset({'Russian Federation'})
0.035,frozenset({'Spain'})
0.04533333333333334,frozenset({'Sweden'})
0.08766666666666667,frozenset({'United Kingdom'})
0.18866666666666668,frozenset({'United States'})
0.028333333333333332,frozenset({'[unknown]'})
0.03666666666666667,frozenset({'a perfect circle'})
0.027,frozenset({'abba'})
0.05733333333333333,frozenset({'ac/dc'})
0.03166666666666667,frozenset({'aerosmith'})
0.03233333333333333,frozenset({'afi'})
0.069,frozenset({'air'})
0.027333333333333334,frozenset({'alanis morissette'})
0.029,frozenset({'alice in chains'})
0.024,frozenset({'alicia keys'})
0.02033333333333333,frozenset({'alkaline trio'})
0.022333333333333334,frozenset({'amon amarth'})
0.02033333333333333,frozenset({'amon tobin'})
0.06266666666666666,frozenset({'amy winehouse'})
0.021333333333333333,frozenset({'anathema'})
0.02033333333333333,frozenset({'andrew bird'})
0.033666666666666664,frozenset({'animal collective'})
0.021333333333333333,frozenset({'antony and the johnsons'})
0.044,frozenset({'aphex twin'})
0.03666666666666667,frozenset({'apocalyptica'})
0.050666666666666665,frozenset({'arcade fire'})
0.023666666666666666,frozenset({'arch enemy'})
0.08,frozenset({'arctic monkeys'})
0.025666666666666667,frozenset({'audioslave'})
0.034666666666666665,frozenset({'avril lavigne'})
0.02666666666666667,frozenset({'bad religion'})
0.023,frozenset({'band of horses'})
0.04666666666666667,frozenset({'beastie boys'})
0.062,frozenset({'beck'})
0.049666666666666665,frozenset({'beirut'})
0.04566666666666667,frozenset({'belle and sebastian'})
0.024666666666666667,frozenset({'beyoncé'})
0.03333333333333333,frozenset({'billy talent'})
0.06433333333333334,frozenset({'björk'})
0.026,frozenset({'black eyed peas'})
0.039,frozenset({'black sabbath'})
0.024666666666666667,frozenset({'blind guardian'})
0.056666666666666664,frozenset({'blink-182'})
0.06466666666666666,frozenset({'bloc party'})
0.032,frozenset({'blur'})
0.04533333333333334,frozenset({'boards of canada'})
0.072,frozenset({'bob dylan'})
0.042333333333333334,frozenset({'bob marley'})
0.03,frozenset({'bob marley & the wailers'})
0.02266666666666667,frozenset({'bon iver'})
0.02266666666666667,frozenset({'bon jovi'})
0.023,frozenset({'bonobo'})
0.021333333333333333,frozenset({'brand new'})
0.025,frozenset({'breaking benjamin'})
0.037333333333333336,frozenset({'bright eyes'})
0.04733333333333333,frozenset({'britney spears'})
0.029333333333333333,frozenset({'broken social scene'})
0.029333333333333333,frozenset({'bruce springsteen'})
0.033,frozenset({'bullet for my valentine'})
0.021,frozenset({'burial'})
0.022,frozenset({'cake'})
0.024,frozenset({'cansei de ser sexy'})
0.03766666666666667,frozenset({'cat power'})
0.03333333333333333,frozenset({'children of bodom'})
0.025333333333333333,frozenset({'christina aguilera'})
0.027333333333333334,frozenset({'cocorosie'})
0.16066666666666668,frozenset({'coldplay'})
0.03,frozenset({'creedence clearwater revival'})
0.025,frozenset({'crystal castles'})
0.023333333333333334,frozenset({'cypress hill'})
0.073,frozenset({'daft punk'})
0.03166666666666667,frozenset({'damien rice'})
0.023,frozenset({'dark tranquillity'})
0.07466666666666667,frozenset({'david bowie'})
0.02,frozenset({'david guetta'})
0.084,frozenset({'death cab for cutie'})
0.026,frozenset({'deep purple'})
0.034333333333333334,frozenset({'deftones'})
0.07133333333333333,frozenset({'depeche mode'})
0.025333333333333333,frozenset({'devendra banhart'})
