area,perimetro,maior-eixo,menor-eixo,arredondamento,area-convexa,extensao
13211,476.658996582031,204.864532470703,82.88511657714841,0.9145004153251651,13608,0.7108803391456601
10915,419.585998535156,171.542327880859,82.8317108154297,0.8756950497627259,11246,0.783448159694672
10536,412.506988525391,162.720291137695,84.62435150146491,0.854129552841187,10974,0.6859375238418579
11810,444.351989746094,187.80738830566398,80.4689102172852,0.9035583734512329,11977,0.573078393936157
14853,488.56100463867205,201.563125610352,95.4724502563477,0.880707621574402,15224,0.678529024124146
13269,458.493988037109,183.404357910156,93.3401412963867,0.8608073592185971,13619,0.6107428669929499
16037,523.914001464844,223.0234375,92.5474395751953,0.909836292266846,16404,0.801048934459686
15306,524.684997558594,227.78186035156202,87.0425262451172,0.9241081476211551,15837,0.5125063061714171
12345,438.024993896484,177.279220581055,89.73426055908199,0.862430989742279,12586,0.621413469314575
12487,437.121002197266,174.211227416992,92.4195709228516,0.847683072090149,12808,0.6954608559608461
12642,462.808990478516,198.404708862305,81.7451705932617,0.911178350448608,12878,0.605982184410095
13949,479.402008056641,200.095138549805,90.0946884155274,0.8928978443145749,14286,0.5815475583076479
11337,417.27099609375,174.463195800781,83.5051574707031,0.8780109286308292,11477,0.8180834054946899
9834,401.005004882813,164.20588684082,77.195068359375,0.8826070427894591,10076,0.697248995304108
14828,494.287994384766,202.10314941406202,95.0346221923828,0.882544815540314,15197,0.5917943716049189
10445,405.596008300781,167.458831787109,80.5041427612305,0.876863241195679,10680,0.633875489234924
11559,427.02999877929705,173.23777770996102,87.18897247314449,0.864117085933685,11840,0.6991471648216251
11914,430.64401245117205,172.009872436523,90.0543670654297,0.851999938488007,12215,0.716329991817474
13093,470.100006103516,197.197021484375,85.7972869873047,0.900389790534973,13358,0.557386100292206
10510,416.710998535156,174.78028869628898,77.30442810058591,0.896869659423828,10691,0.588334083557129
12590,463.776000976563,197.37873840332,82.68568420410159,0.908023655414581,12880,0.606542348861694
11809,433.05398559570295,170.87121582031298,89.4826431274414,0.8519121408462521,12129,0.6174317598342901
11715,430.378997802734,172.75178527832,87.8553085327149,0.86102432012558,12009,0.778353571891785
12759,455.315002441406,188.19117736816398,87.0829086303711,0.8864959478378299,13082,0.675079345703125
9933,397.72000122070295,160.850631713867,79.7827682495117,0.8683194518089291,10161,0.706371784210205
11480,432.82400512695295,174.962463378906,85.0884628295898,0.8737785220146179,11833,0.59083890914917
10870,414.278015136719,164.704406738281,85.4057846069336,0.85505348443985,11183,0.66159462928772
13335,474.377014160156,197.839904785156,87.5825424194336,0.8966727256774899,13702,0.667016804218292
13337,471.846984863281,199.144668579102,86.4656448364258,0.900823712348938,13686,0.6644579768180849
11940,443.96798706054705,187.33361816406298,82.1827850341797,0.898634791374207,12184,0.636392712593079
11907,448.16500854492205,185.981155395508,82.8188400268555,0.8953775763511659,12209,0.56538462638855
13952,484.94699096679705,201.322830200195,89.5103759765625,0.895723700523376,14349,0.656410276889801
9802,396.816009521484,166.890213012695,75.1170120239258,0.892978966236115,9948,0.5711788535118101
11273,432.65499877929705,185.892791748047,77.6103973388672,0.9086765646934509,11440,0.619736135005951
16706,533.6259765625,228.156173706055,94.2075424194336,0.9107726812362671,17037,0.636249363422394
14626,502.356994628906,212.73469543457,88.5833892822266,0.909180104732513,14997,0.581504464149475
15368,503.307006835938,209.418502807617,94.39366912841801,0.8926543593406681,15709,0.640333354473114
12387,442.26998901367205,177.719635009766,90.9715042114258,0.8590556979179379,12754,0.585065186023712
16063,520.7449951171881,217.913818359375,95.20046997070308,0.8995236158370971,16561,0.556757152080536
9723,388.617004394531,158.360824584961,79.3425827026367,0.8654333353042599,9949,0.6251928806304929
11693,446.484008789063,185.65159606933602,81.72230529785159,0.8979038000106808,12064,0.572793185710907
10311,408.339996337891,168.20568847656298,79.9236373901367,0.879902541637421,10593,0.653504908084869
14015,475.723999023438,195.321640014648,92.4847946166992,0.8807938098907471,14492,0.748624563217163
14533,487.204010009766,196.814987182617,95.84307861328121,0.8734184503555301,14873,0.651120066642761
11490,424.56201171875,172.406463623047,85.88819885253909,0.867077827453613,11733,0.614274263381958
14005,485.455993652344,207.133850097656,86.8755111694336,0.907793581485748,14212,0.5638083815574649
