support,itemsets
0.011666666666666667,frozenset({'...and you will know us by the trail of dead'})
0.025333333333333333,frozenset({'2pac'})
0.03133333333333333,frozenset({'3 doors down'})
0.03333333333333333,frozenset({'30 seconds to mars'})
0.011333333333333334,frozenset({'311'})
0.024,frozenset({'50 cent'})
0.018333333333333333,frozenset({'65daysofstatic'})
0.019,frozenset({'Australia'})
0.04633333333333333,frozenset({'Brazil'})
0.027,frozenset({'Canada'})
0.013,frozenset({'Czech Republic'})
0.03666666666666667,frozenset({'Finland'})
0.016,frozenset({'France'})
0.08866666666666667,frozenset({'Germany'})
0.021,frozenset({'Italy'})
0.015,frozenset({'Japan'})
0.010333333333333333,frozenset({'Mexico'})
0.03666666666666667,frozenset({'Netherlands'})
0.012666666666666666,frozenset({'Norway'})
0.06366666666666666,frozenset({'Poland'})
0.048666666666666664,frozenset({'Russian Federation'})
0.035,frozenset({'Spain'})
0.04533333333333334,frozenset({'Sweden'})
0.01633333333333333,frozenset({'Turkey'})
0.011666666666666667,frozenset({'Ukraine'})
0.08766666666666667,frozenset({'United Kingdom'})
0.18866666666666668,frozenset({'United States'})
0.028333333333333332,frozenset({'[unknown]'})
0.03666666666666667,frozenset({'a perfect circle'})
0.017666666666666667,frozenset({'a tribe called quest'})
0.012666666666666666,frozenset({'a-ha'})
0.027,frozenset({'abba'})
0.05733333333333333,frozenset({'ac/dc'})
0.011666666666666667,frozenset({'adam green'})
0.013333333333333334,frozenset({'adele'})
0.011,frozenset({'adema'})
0.03166666666666667,frozenset({'aerosmith'})
0.014333333333333333,frozenset({'aesop rock'})
0.03233333333333333,frozenset({'afi'})
0.010333333333333333,frozenset({'after forever'})
0.014333333333333333,frozenset({'against me!'})
0.012666666666666666,frozenset({'aimee mann'})
0.069,frozenset({'air'})
0.016666666666666666,frozenset({'akon'})
0.027333333333333334,frozenset({'alanis morissette'})
0.013,frozenset({'alexisonfire'})
0.01,frozenset({'alice cooper'})
0.029,frozenset({'alice in chains'})
0.024,frozenset({'alicia keys'})
0.02033333333333333,frozenset({'alkaline trio'})
0.013,frozenset({'all that remains'})
0.022333333333333334,frozenset({'amon amarth'})
0.02033333333333333,frozenset({'amon tobin'})
0.016,frozenset({'amorphis'})
